"フランス語Ⅱ（’１８）", "2019年度2学期（69.6点）", "2019年度1学期（66.2点）", "基盤科目", "外国語科目", "",
"発達心理学概論（’１７）", "2019年度2学期（75.4点）", "2019年度1学期（76.2点）", "コース科目", "導入科目", "心理と教育",
"社会・集団・家族心理学（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"産業・組織心理学（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"CGと画像合成の基礎（’１６）", "2019年度2学期（71.9点）", "2019年度1学期（75.1点）", "コース科目", "専門科目", "情報",
"運動と健康（’１８）", "2019年度2学期（60.1点）", "2019年度1学期（62.1点）", "基盤科目", "", "",
"心理学研究法（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"身近な統計（’１８）", "2019年度2学期（72.7点）", "2019年度1学期（68.8点）", "基盤科目", "", "",
"教育のためのＩＣＴ活用（’１７）", "2019年度2学期（73点）", "2019年度1学期（78点）", "コース科目", "専門科目", "情報",
"初歩からの数学（’１８）", "2019年度2学期（77.9点）", "2019年度1学期（76.8点）", "基盤科目", "", "",
"人格心理学（’１５）", "2019年度2学期（77.4点）", "2019年度1学期（76.2点）", "", "", "",
"錯覚の科学（’２０）", nil, nil, "コース科目", "専門科目", "心理と教育",
"「人新世」時代の文化人類学（’２０）", nil, nil, "コース科目", "専門科目", "人間と文化",
"場と時間空間の物理（’２０）", nil, nil, "コース科目", "専門科目", "自然と環境",
"日本の近世（’２０）", nil, nil, "コース科目", "専門科目", "人間と文化",
"世界文学の古典を読む（’２０）", nil, nil, "コース科目", "専門科目", "人間と文化",
"行政学概説（’２０）", nil, nil, "コース科目", "専門科目", "社会と産業",
"カリキュラムと学習過程（’１６）", "2019年度2学期（75.2点）", "2019年度1学期（78.6点）", "コース科目", "専門科目", "心理と教育",
"中国と東部ユーラシアの歴史（’２０）", nil, nil, "コース科目", "専門科目", "人間と文化",
"子ども・青年の文化と教育（’１７）", "2019年度2学期（64.2点）", "2019年度1学期（67.1点）", "コース科目", "専門科目", "心理と教育",
"ヨーロッパ政治史（’２０）", nil, nil, "コース科目", "専門科目", "社会と産業",
"現代東アジアの政治と社会（’２０）", nil, nil, "コース科目", "専門科目", "社会と産業",
"量子化学（’１９）", "2019年度2学期（61.6点）", "2019年度1学期（61点）", "コース科目", "専門科目", "自然と環境",
"中国語Ⅱ（’１８）", "2019年度2学期（65.9点）", "2019年度1学期（64.8点）", "基盤科目", "外国語科目", "",
"力と運動の物理（’１９）", "2019年度2学期（69.8点）", "2019年度1学期（73.7点）", "コース科目", "専門科目", "自然と環境",
"生命分子と細胞の科学（’１９）", "2019年度2学期（69.8点）", "2019年度1学期（74.7点）", "コース科目", "専門科目", "自然と環境",
"人体の構造と機能（’１８）", "2019年度2学期（69点）", "2019年度1学期（72.4点）", "コース科目", "導入科目", "生活と福祉",
"道徳教育の方法（’１５）", "2019年度2学期（80.7点）", "2019年度1学期（81.1点）", "コース科目", "専門科目", "心理と教育",
"入門線型代数（’１９）", "2019年度2学期（79.2点）", "2019年度1学期（82.3点）", "コース科目", "導入科目", "自然と環境",
"生活者のための不動産学への招待（’１８）", "2019年度2学期（67.9点）", "2019年度1学期（69.4点）", "コース科目", "導入科目", "生活と福祉",
"統計学（’１９）", "2019年度2学期（78.1点）", "2019年度1学期（82.5点）", "コース科目", "専門科目", "自然と環境",
"数学の歴史（’１９）", "2019年度2学期（75.8点）", "2019年度1学期（78.9点）", "コース科目", "専門科目", "自然と環境",
"宇宙の誕生と進化（’１９）", "2019年度2学期（64.5点）", "2019年度1学期（64.4点）", "コース科目", "専門科目", "自然と環境",
"地域福祉の現状と課題（’１８）", "2019年度2学期（70.8点）", "2019年度1学期（77.8点）", "コース科目", "専門科目", "生活と福祉",
"幼児教育の指導法（’１５）", "2019年度2学期（80.9点）", "2019年度1学期（85.2点）", "コース科目", "専門科目", "心理と教育",
"物理の世界（’１７）", "2019年度2学期（74.4点）", "2019年度1学期（71.7点）", "コース科目", "導入科目", "自然と環境",
"看護管理と医療安全（’１８）", "2019年度2学期（69.1点）", "2019年度1学期（82.5点）", "コース科目", "専門科目", "生活と福祉",
"現代日本の教師－仕事と役割－（’１５）", "2019年度2学期（64.4点）", "2019年度1学期（70点）", "コース科目", "専門科目", "心理と教育",
"化学結合論－分子の構造と機能（’１７）", "2019年度2学期（63.6点）", "2019年度1学期（61.7点）", "コース科目", "導入科目", "自然と環境",
"問題解決の進め方（’１９）", "2019年度2学期（75.9点）", "2019年度1学期（69.4点）", "基盤科目", "", "",
"初歩からの宇宙の科学（’１７）", "2019年度2学期（78.3点）", "2019年度1学期（79.6点）", "コース科目", "導入科目", "自然と環境",
"社会福祉実践の理論と実際（’１８）", "2019年度2学期（70.2点）", "2019年度1学期（73点）", "コース科目", "専門科目", "生活と福祉",
"はじめての気象学（’１５）", "2019年度2学期（67.6点）", "2019年度1学期（70.2点）", "", "", "",
"中東の政治（’２０）", nil, nil, "コース科目", "専門科目", "社会と産業",
"データベース（’１７）", "2019年度2学期（76.3点）", "2019年度1学期（70.3点）", "コース科目", "専門科目", "情報",
"感染症と生体防御（’１８）", "2019年度2学期（89.6点）", "2019年度1学期（90.5点）", "コース科目", "導入科目", "生活と福祉",
"金融と社会（’２０）", nil, nil, "コース科目", "専門科目", "社会と産業",
